id,P,R,F1,correct,len,avg_edit_dist,avg_norm_edit_dist,Time
EnglishToGerman,0.4,0.4,0.4000000000000001,0,5,5.6,0.8047619047619048,4.157879114151001
CityToCountry,0.2,0.2,0.20000000000000004,0,10,10.8,0.8820435120435122,8.23608660697937
HexCodeToRGB,0.6,0.6,0.6,0,5,14.8,0.7230674087816945,4.043401479721069
ISSNToTitle,0.2,0.2,0.20000000000000004,0,5,26.2,0.9475555555555555,6.0267815589904785
CountriesToContinents,0.41,0.4019607843137255,0.4059405940594059,37,102,3.549019607843137,0.427278603749192,62.68063020706177
SwiftToBankName,0.07708333333333334,0.074,0.07551020408163264,0,500,20.624,0.7808964239943917,626.1675264835358
UniversityTostate,0.25,0.25,0.25,1,20,13.3,0.7919876142089765,25.116679430007935
YearNobelPrizeFieldLaureate,0.058823529411764705,0.002183406113537118,0.004210526315789474,0,475,26.95157894736842,0.8671715792181014,739.2246460914612
ZipToCity,0.006,0.006,0.006,0,500,8.518,1.0,288.06688022613525
MountainsOver7k2meters,0.03389830508474576,0.03389830508474576,0.03389830508474576,0,59,3.5762711864406778,0.7203646635850025,31.577247619628906
CompanyToBloombergID,0.2,0.2,0.20000000000000004,0,5,18.0,0.7250498405103668,7.9921722412109375
ElementToSymbol,0.2909090909090909,0.2909090909090909,0.2909090909090909,0,55,4.2,0.5478200587291496,33.45626401901245
CompanyToCeo,0.4,0.4,0.4000000000000001,0,5,13.2,0.938961038961039,4.3940534591674805
TeamToManager,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,6,15.0,0.8663357110725531,7.310717344284058
IPToCountry,0.6,0.6,0.6,0,5,8.2,0.8213186813186812,3.804060935974121
NBAClub2Roster,0.23529411764705882,0.058823529411764705,0.09411764705882353,0,68,11.955882352941176,0.8734452429134636,77.02221846580505
CompanyToTicker,0.1814516129032258,0.18,0.18072289156626506,20,500,5.924,0.7046206736710663,312.931764125824
SoccerPlayer2club,0.15,0.15,0.15,0,20,11.0,0.8601620981787391,19.635361433029175
fahrenheitToCelcius,0.2,0.2,0.20000000000000004,0,5,2.2,1.0,1.8608031272888184
bankToCountryDistinct,0.19959266802443992,0.196,0.1977800201816347,10,500,11.01,0.8240036163879708,375.7423303127289
USStandardToMetric,0.8,0.8,0.8000000000000002,0,5,7.0,0.7896153846153846,3.060830593109131
PatentIDToName,0.6,0.6,0.6,0,5,14.0,0.9306501547987616,5.3112876415252686
City2TallBuildings,0.14705882352941177,0.10204081632653061,0.12048192771084339,0,49,16.408163265306122,0.7515629435082608,66.09112477302551
Author2Novels,0.18181818181818182,0.09090909090909091,0.12121212121212123,0,22,24.363636363636363,0.8678876537481544,34.70530462265015
Worldcupwinner2year,0.14285714285714285,0.1111111111111111,0.125,0,9,2.111111111111111,0.5277777777777778,4.671649932861328
TeamToCoach,0.2,0.2,0.20000000000000004,0,10,14.1,0.8539929241687554,11.339057683944702
Driver2Champioships,0.05263157894736842,0.041666666666666664,0.04651162790697675,0,24,2.4166666666666665,0.6041666666666666,11.11381220817566
CountryToLanguage,0.3235294117647059,0.3235294117647059,0.3235294117647059,0,68,6.529411764705882,0.7065905650077476,47.168458223342896
GregorianToHijri,0.2,0.2,0.20000000000000004,0,5,6.8,0.6799999999999999,3.5239129066467285
SoccerPlayer2Birthdate,0.045454545454545456,0.045454545454545456,0.045454545454545456,0,66,15.469696969696969,0.8180353911301607,75.95002675056458
ISBNToTitle,0.6,0.6,0.6,0,5,18.2,0.8206560043372187,5.984078884124756
SoccerPlayer2Birthplace,0.05,0.05,0.05000000000000001,0,100,18.19,0.8112650537288679,148.56347036361694
StateToAbbrv,0.5483870967741935,0.5483870967741935,0.5483870967741935,10,31,0.7096774193548387,0.3548387096774194,11.212318181991577
BankToCity,0.08188585607940446,0.066,0.07308970099667775,3,500,15.73,0.8511317689313094,604.8574104309082
YearNobelPrizeLaureate,0.03932584269662921,0.015086206896551725,0.021806853582554516,0,475,40.48,0.8710029817658561,602.9084389209747
CountryToAreaSqKM,0.016666666666666666,0.016666666666666666,0.016666666666666666,0,120,4.825,0.7880952380952381,73.36009740829468
Continent2Countries,0.29411764705882354,0.049019607843137254,0.08403361344537814,0,102,8.294117647058824,0.8416714087282973,67.46997404098511
SoccerPlayer2NationalTeam,0.14516129032258066,0.14516129032258066,0.14516129032258066,0,62,6.693548387096774,0.8822327880321239,37.583287954330444
CountryToCurrencies,0.23232323232323232,0.23232323232323232,0.23232323232323232,0,99,11.585858585858587,0.7824817045045648,105.64279556274414
MountainsOver7k2feet,0.05084745762711865,0.05084745762711865,0.050847457627118654,0,59,4.101694915254237,0.7157176489180477,37.25589084625244
Mountain7k2Countries,0.3181818181818182,0.28378378378378377,0.30000000000000004,0,74,7.864864864864865,0.8157067671773555,60.575862646102905
CountryCodeToCountry,0.02654867256637168,0.02564102564102564,0.02608695652173913,0,117,8.837606837606838,0.9962124457738493,50.44881987571716
ZipToState,0.4,0.4,0.4000000000000001,0,5,5.0,1.0,2.437891721725464
AnimalToGenusSpeciesCommonNames,0.7777777777777778,0.5833333333333334,0.6666666666666666,1,12,9.25,0.5410078505086245,11.739062309265137
PoundsToKg,0.4,0.4,0.4000000000000001,0,5,3.8,0.82,2.2187671661376953
CountryToCitizen,0.8390804597701149,0.8390804597701149,0.8390804597701149,1,87,2.8505747126436782,0.3167164881921474,67.53090453147888
Country2UnescoSites,0.17391304347826086,0.05970149253731343,0.08888888888888888,0,67,29.567164179104477,0.8467214215328764,72.21968388557434
AsciiToUnicode,0.2,0.2,0.20000000000000004,0,5,2.2,1.0,1.7802371978759766
Movie2Cast,0.16,0.01556420233463035,0.028368794326241138,0,257,16.59922178988327,0.8526111905734697,338.34988236427307
Person2Spouses,0.2222222222222222,0.21428571428571427,0.21818181818181817,0,32,11.15625,0.7769031299797553,37.8120698928833
RegionToAreaCode-Single,0.015151515151515152,0.005681818181818182,0.008264462809917354,0,176,3.0454545454545454,0.9119318181818182,71.6610050201416
ManufacturerToProducts,0.208955223880597,0.1414141414141414,0.16867469879518074,0,100,30.53,0.8158936794212245,177.0017068386078
Lake2Countries,0.22727272727272727,0.1724137931034483,0.19607843137254902,0,29,10.413793103448276,0.7996265581565037,21.3252854347229
City2LongLat,0.4,0.4,0.4000000000000001,0,5,18.6,0.9233709273182956,5.668715715408325
AwardToArtist,0.6,0.09090909090909091,0.15789473684210525,0,73,10.561643835616438,0.8494024769063794,57.34505891799927
CharToAscii,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,6,5.0,0.8134920634920636,3.800307273864746
airportToCountry,0.08928571428571429,0.08928571428571429,0.08928571428571429,0,56,8.482142857142858,0.9283127586699015,32.011231422424316
AirportcodeToCity,0.07028112449799197,0.07,0.07014028056112226,0,500,9.25,0.771663520685983,312.85945224761963
ElementToBP,0.1,0.1,0.10000000000000002,0,20,3.7,0.8958333333333334,10.873075246810913
RGBToColor,0.6,0.6,0.6,0,5,6.0,0.74,3.053910493850708
ISBNToPublisher,0.4,0.4,0.4000000000000001,0,5,13.2,1.0,4.650660991668701
IBANToBankName,0.14705882352941177,0.15151515151515152,0.14925373134328357,0,35,24.8,0.9536816781824842,56.850279569625854
AthletesHoldingWorldRecordsPerCountry,0.4117647058823529,0.22580645161290322,0.29166666666666663,0,31,12.64516129032258,0.846363726905273,32.453949213027954
UnescoSite2Location,0.14925373134328357,0.14925373134328357,0.14925373134328357,1,67,26.895522388059703,0.8012725635082467,132.6439244747162
MountainsOver7k2Range,0.3050847457627119,0.3050847457627119,0.3050847457627119,0,59,12.88135593220339,0.8261975159919713,51.48137712478638
WorldRecordToAthlete,0.06666666666666667,0.03225806451612903,0.043478260869565216,0,31,14.580645161290322,0.8570992302371075,29.788914918899536
SoccerplayerToAllclub,0.25,0.2,0.22222222222222224,0,5,10.2,0.918552036199095,3.0926907062530518
soccerTeam2Arena,0.35714285714285715,0.35714285714285715,0.35714285714285715,0,14,22.714285714285715,0.842163844681468,18.926071882247925
CityToZIp,0.0070921985815602835,0.006,0.0065005417118093175,0,500,5.674,0.8848359723609724,350.29192209243774
Movie2year,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,6,2.3333333333333335,0.5833333333333334,2.9509713649749756
CountryToTwoLettersISOCode,0.275,0.275,0.275,22,120,1.0083333333333333,0.5041666666666667,43.45305848121643
CompanyToIndustry,0.4,0.4,0.4000000000000001,0,5,13.2,0.9064920459657302,4.194885730743408
ISBNToAuthor,0.2,0.2,0.20000000000000004,0,5,26.8,0.9933333333333334,6.38450026512146
shoesizeUSEUR,0.125,0.125,0.125,0,8,3.25,0.8958333333333334,3.459397554397583
CountryToThreeLettersISOCode,0.425,0.425,0.425,32,120,1.4916666666666667,0.4749305555555556,49.95225286483765
CUSIPToCompanyName,0.6,0.6,0.6,0,5,14.2,0.909047619047619,5.214038133621216
Country2Mountains7k,0.29411764705882354,0.06756756756756757,0.10989010989010987,0,74,10.27027027027027,0.8387360713018608,59.3737268447876
IPToDomain,0.4,0.4,0.4000000000000001,0,5,18.0,0.8542968532442217,5.506681680679321
ArenaTocurrentSoccerClubs,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,15,17.333333333333332,0.8458859286018694,21.121885776519775
BankToSwiftCode,0.12536443148688048,0.086,0.10201660735468564,0,500,25.484,0.7900555031604034,914.9894807338715
SymbolToCompanyName,0.4,0.4,0.4000000000000001,0,5,17.8,0.738983605824213,4.413133859634399
