id,P,R,F1,correct,len,avg_edit_dist,avg_norm_edit_dist,Time
AJ-park-to-state-2,1.0,1.0,1.0,23,30,0.43333333333333335,0.048484848484848485,21.155897855758667
AJ-california-govs-2,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,29,8.448275862068966,0.3210393104371754,48.38189244270325
AJ-new-york-govs-1,1.0,1.0,1.0,6,28,10.428571428571429,0.35292059482053995,42.09409689903259
AJ-k12-name-to-email,1.0,1.0,1.0,0,19,6.947368421052632,0.2592953675071487,30.56096053123474
AJ-us-cities,0.875,0.875,0.875,1,16,3.0,0.2784335456210456,11.92042350769043
AJ-fruits-1,1.0,1.0,1.0,6,11,2.6363636363636362,0.19096963642418185,9.13565969467163
AJ-beatles-songs,0.9428571428571428,0.9428571428571428,0.9428571428571428,67,140,2.4857142857142858,0.10450817617148724,154.76587677001953
AJ-vegetables,0.8529411764705882,0.8529411764705882,0.8529411764705882,21,34,2.823529411764706,0.18638922893785595,31.11418581008911
AJ-texas-govs-1,1.0,1.0,1.0,9,13,1.9230769230769231,0.08615899151016208,16.34700322151184
AJ-us-presidents-6,1.0,1.0,1.0,13,22,1.8636363636363635,0.09373931354475964,27.994874238967896
AJ-us-presidents-1,1.0,1.0,1.0,30,34,1.911764705882353,0.04940124018659688,47.954002380371094
AJ-christmas-songs-1,0.95,0.95,0.9500000000000001,4,20,11.75,0.31627746208613783,41.25643968582153
AJ-sharif-username-to-email,0.7784256559766763,0.7784256559766763,0.7784256559766765,193,345,4.252173913043478,0.24820238772979503,320.1510684490204
AJ-duke-cs-profs,0.9545454545454546,0.9545454545454546,0.9545454545454546,3,22,4.181818181818182,0.19305945921306178,25.97679567337036
AJ-new-york-govs-3,1.0,1.0,1.0,11,13,0.46153846153846156,0.021478521478521476,21.174578189849854
AJ-new-york-govs-4,1.0,1.0,1.0,0,29,7.379310344827586,0.24020081720790418,59.27750778198242
AJ-new-york-govs-2,0.9655172413793104,0.9333333333333333,0.9491525423728815,0,30,7.466666666666667,0.2372631085736075,54.30836248397827
AJ-new-york-govs-5,0.9310344827586207,0.9310344827586207,0.9310344827586207,0,29,20.862068965517242,0.46045341776800963,71.70809483528137
AJ-park-to-state-1,0.9655172413793104,0.9655172413793104,0.9655172413793104,25,29,2.793103448275862,0.10547345374931581,32.63779020309448
AJ-chinese-provinces,1.0,1.0,1.0,4,13,3.3846153846153846,0.28891514468437546,9.87718915939331
AJ-texas-govs-2,1.0,1.0,1.0,0,13,7.846153846153846,0.40449247272252364,16.972155809402466
AJ-california-govs-1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0,12,7.583333333333333,0.3241516208341764,15.817158937454224
AJ-uk-prime-ministers,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,38,6.7894736842105265,0.26401201427998994,42.15479779243469
names200,0.73,0.73,0.7299999999999999,0,100,4.38,0.40938413852229644,83.35650324821472
AJ-fruits-2,1.0,1.0,1.0,2,11,8.818181818181818,0.44328167391647016,11.733304738998413
AJ-christmas-songs-2,1.0,1.0,1.0,4,30,12.9,0.3526691077107592,65.72274947166443
AJ-sharif-email-to-url,0.9970501474926253,0.9970501474926253,0.9970501474926253,289,345,1.0318840579710145,0.052148946648604276,458.77902698516846
AJ-us-presidents-2,1.0,1.0,1.0,0,23,14.173913043478262,0.3704914334650971,51.82765507698059
AJ-fsu-name-to-username,0.9464285714285714,0.9464285714285714,0.9464285714285714,40,56,0.9642857142857143,0.08704840910723263,34.222952365875244
AJ-us-presidents-5,1.0,1.0,1.0,1,22,1.1818181818181819,0.07622652525727393,25.121033430099487
AJ-us-presidents-3,1.0,1.0,1.0,6,22,3.409090909090909,0.1858333214361953,25.507730722427368
AJ-us-presidents-4,1.0,1.0,1.0,11,39,20.666666666666668,0.4508776288048948,80.97837996482849
