id,P,R,F1,correct,len,avg_edit_dist,avg_norm_edit_dist,Time
Drug,0.26582278481012656,0.26582278481012656,0.26582278481012656,0,79,11.810126582278482,0.7575285082529873,75.85453701019287
Country,0.4930555555555556,0.4863013698630137,0.48965517241379314,1,146,12.349315068493151,0.4964738060412326,201.25543999671936
Legislature,0.6759259259259259,0.6759259259259259,0.6759259259259259,0,108,17.916666666666668,0.45567836199017864,229.99831557273865
SoccerClubSeason,0.8846153846153846,0.8846153846153846,0.8846153846153846,0,26,15.23076923076923,0.343709521006676,69.55568432807922
RugbyLeague,0.4642857142857143,0.4482758620689655,0.456140350877193,0,29,18.03448275862069,0.5633918043723951,56.09108281135559
RailwayLine,0.5034965034965035,0.4864864864864865,0.49484536082474234,0,149,18.16778523489933,0.5937012849521455,282.0117881298065
SoccerLeague,0.3879310344827586,0.3813559322033898,0.3846153846153847,0,119,21.789915966386555,0.6061824690529144,252.2339642047882
ShoppingMall,0.2,0.2,0.20000000000000004,5,80,13.75,0.6936079212998936,85.04540991783142
Reptile,0.9711191335740073,0.9572953736654805,0.9641577060931898,0,281,2.9181494661921707,0.13937763824221905,428.9491000175476
ChristianBishop,0.7166666666666667,0.7049180327868853,0.7107438016528925,0,247,8.696356275303645,0.3460944506756095,406.80194640159607
Device,0.6533742331288344,0.6474164133738601,0.6503816793893129,0,329,7.003039513677812,0.37771886417571965,426.7338762283325
Museum,0.5,0.49019607843137253,0.495049504950495,0,153,18.169934640522875,0.5849352438060722,288.5668897628784
Venue,0.47282608695652173,0.453125,0.46276595744680854,0,192,19.9375,0.6306400837492608,332.90298295021057
NCAATeamSeason,0.8823529411764706,0.8823529411764706,0.8823529411764706,5,17,11.411764705882353,0.24768431669342927,45.4230899810791
Race,0.5581395348837209,0.5454545454545454,0.5517241379310344,0,88,14.738636363636363,0.5781320640995725,150.07078766822815
Election,0.029535864978902954,0.01928374655647383,0.023333333333333334,1,364,9.208791208791208,0.9125626616898591,292.3932342529297
ClericalAdministrativeRegion,0.6236559139784946,0.6105263157894737,0.6170212765957447,0,95,14.884210526315789,0.3492645141443445,225.15910482406616
NationalFootballLeagueSeason,1.0,1.0,1.0,0,5,7.2,0.1905547112462006,10.66422152519226
Monarch,0.5,0.49586776859504134,0.4979253112033195,0,121,14.479338842975206,0.5521517215947952,189.80663132667542
Case,0.6524064171122995,0.6421052631578947,0.6472148541114058,0,190,18.61578947368421,0.46062788910024943,462.3914794921875
Amphibian,0.5906735751295337,0.5906735751295337,0.5906735751295337,0,581,9.419965576592082,0.42154412286045173,852.9058148860931
ArtificialSatellite,0.5,0.5,0.5,0,36,12.027777777777779,0.5963616117042111,43.66161108016968
TelevisionStation,0.4631578947368421,0.4583333333333333,0.4607329842931937,0,576,8.730902777777779,0.5047733180415469,630.4472825527191
Hospital,0.4094488188976378,0.40310077519379844,0.40625,0,129,20.170542635658915,0.5647406697289405,290.2048923969269
SportsLeague,0.4978902953586498,0.4896265560165975,0.49372384937238495,1,241,14.58091286307054,0.46642575587612484,524.3555474281311
Magazine,0.6470588235294118,0.6423357664233577,0.6446886446886447,0,137,10.401459854014599,0.4423398278166084,211.38467955589294
Galaxy,0.4444444444444444,0.4444444444444444,0.4444444444444444,0,9,15.444444444444445,0.5835442335442336,12.309733390808105
BasketballTeam,0.5822784810126582,0.5542168674698795,0.5679012345679012,0,83,10.036144578313253,0.46617740981224076,112.76680541038513
Enzyme,0.7083333333333334,0.7083333333333334,0.7083333333333334,0,24,10.083333333333334,0.30024490093995976,36.97601103782654
Wrestler,0.14347826086956522,0.14224137931034483,0.14285714285714288,0,232,18.948275862068964,0.806614154520644,312.5575580596924
MotorsportSeason,0.9010416666666666,0.8917525773195877,0.8963730569948186,42,194,7.324742268041237,0.2006704432067526,435.0263407230377
Song,0.6682027649769585,0.6590909090909091,0.6636155606407322,0,220,13.55,0.41195746474220674,408.6247386932373
Stadium,0.27666666666666667,0.267741935483871,0.2721311475409836,0,310,13.587096774193549,0.6091163931495379,463.8796832561493
SportFacility,0.363914373088685,0.3541666666666667,0.35897435897435903,0,336,25.485119047619047,0.6790861506377874,705.2769916057587
GivenName,0.16883116883116883,0.16883116883116883,0.16883116883116883,7,77,8.402597402597403,0.49744557277969687,69.5711760520935
EthnicGroup,0.6021276595744681,0.5995762711864406,0.6008492569002123,21,473,8.875264270613108,0.40571508742649337,745.0486822128296
SoccerTournament,0.6923076923076923,0.6827586206896552,0.6875,0,145,10.758620689655173,0.2685550847677595,371.8852298259735
Tournament,0.6171171171171171,0.5956521739130435,0.6061946902654868,0,230,13.28695652173913,0.40371045030772473,506.75178623199463
PoliticalParty,0.6033057851239669,0.5887096774193549,0.5959183673469387,0,248,17.927419354838708,0.513138430574857,508.2531363964081
FootballMatch,0.8846153846153846,0.8846153846153846,0.8846153846153846,0,27,15.407407407407407,0.3567775138911664,67.89327335357666
Artwork,0.3114754098360656,0.3089430894308943,0.31020408163265306,0,123,19.975609756097562,0.741182839643278,221.8737554550171
Noble,0.3333333333333333,0.32967032967032966,0.3314917127071823,0,182,11.005494505494505,0.7176662296131344,193.35178780555725
GovernmentAgency,0.5667870036101083,0.5508771929824562,0.5587188612099644,2,286,19.314685314685313,0.4685395688348991,759.9716091156006
UnitOfWork,0.6595744680851063,0.6526315789473685,0.6560846560846562,0,190,19.710526315789473,0.5021388866580941,495.7475492954254
HistoricBuilding,0.30991735537190085,0.29296875,0.30120481927710846,0,256,13.11328125,0.7103702773430737,403.5157268047333
TennisTournament,0.7857142857142857,0.7857142857142857,0.7857142857142857,0,14,13.857142857142858,0.45392555636747384,28.211922883987427
MemberOfParliament,0.4979757085020243,0.4880952380952381,0.49298597194388777,0,252,11.142857142857142,0.39446045640613214,446.3428735733032
FootballLeagueSeason,0.6102941176470589,0.5928571428571429,0.6014492753623188,0,140,14.792857142857143,0.4071647448660681,286.1273078918457
Award,0.6079545454545454,0.5572916666666666,0.5815217391304348,0,192,10.807291666666666,0.31750641260713985,388.86998224258423
NaturalEvent,0.7307692307692307,0.7307692307692307,0.7307692307692306,0,26,7.423076923076923,0.2974015098256261,47.399378299713135
