id,P,R,F1,correct,len,avg_edit_dist,avg_norm_edit_dist,Time
FF-univ-6,1.0,1.0,1.0,1,4,8.0,0.3800983436853002,4.825236082077026
FF-name-combine-long,1.0,1.0,1.0,25,25,0.0,0.0,26.896114587783813
FF-univ-1,1.0,1.0,1.0,0,3,9.666666666666666,0.18727163821503445,6.410593032836914
FF-phone-2-long-repeat,1.0,1.0,1.0,50,50,0.0,0.0,20.727146863937378
FF-initials-small,1.0,1.0,1.0,1,2,0.5,0.125,0.37433958053588867
FF-bikes-small,1.0,1.0,1.0,1,3,1.3333333333333333,0.18055555555555555,1.8353259563446045
FF-phone-2-short,1.0,1.0,1.0,3,3,0.0,0.0,1.2349483966827393
FF-name-combine-3-short,1.0,1.0,1.0,1,3,2.6666666666666665,0.22051282051282053,2.2960197925567627
FF-phone-1-long,1.0,1.0,1.0,50,50,0.0,0.0,20.70805048942566
FF-phone-6-short,0.75,0.75,0.75,3,4,2.0,0.18181818181818182,2.0634193420410156
FF-univ-5-long-repeat,0.9090909090909091,0.9090909090909091,0.9090909090909091,4,11,4.7272727272727275,0.22544389656689123,13.95407485961914
FF-univ-1-long,0.9,0.9,0.9,0,10,7.3,0.17892351900067952,19.7143611907959
FF-name-combine-3-long-repeat,1.0,1.0,1.0,16,25,0.44,0.04471717171717172,18.956886053085327
FF-dr-name-small,1.0,1.0,1.0,1,2,0.5,0.05,0.6197628974914551
FF-phone-7-long-repeat,0.8,0.8,0.8000000000000002,39,50,0.54,0.18,20.871554613113403
FF-lastname-long-repeat,1.0,1.0,1.0,27,27,0.0,0.0,16.61671257019043
FF-phone-4-short,1.0,1.0,1.0,3,3,0.0,0.0,2.5218851566314697
FF-firstname-long,1.0,1.0,1.0,8,27,2.5185185185185186,0.2891681363903586,17.962416648864746
FF-reverse-name,1.0,1.0,1.0,1,3,1.3333333333333333,0.08263305322128851,3.1010682582855225
FF-dr-name,1.0,1.0,1.0,0,2,2.0,0.2,0.6703464984893799
FF-name-combine-2-short,1.0,1.0,1.0,0,2,2.0,0.2222222222222222,0.6092400550842285
FF-phone-3-short,1.0,1.0,1.0,4,4,0.0,0.0,3.9961788654327393
FF-phone-7-long,0.84,0.84,0.8399999999999999,42,50,0.36,0.12,20.817503213882446
FF-univ-6-long,0.9,0.9,0.9,3,10,5.5,0.28686898405433875,10.192071437835693
FF-phone-4-long-repeat,1.0,1.0,1.0,21,50,1.08,0.09818181818181819,41.816235065460205
FF-lastname,1.0,1.0,1.0,2,2,0.0,0.0,0.5492687225341797
FF-lastname-long,1.0,1.0,1.0,27,27,0.0,0.0,16.515235662460327
FF-univ-6-long-repeat,0.8181818181818182,0.8181818181818182,0.8181818181818182,0,11,14.454545454545455,0.5631049093572812,14.81338381767273
FF-phone-1-short,1.0,1.0,1.0,3,3,0.0,0.0,1.231848955154419
FF-phone-10,1.0,1.0,1.0,1,4,4.25,0.2564338235294118,4.141378164291382
FF-phone-8-long-repeat,1.0,1.0,1.0,50,50,0.0,0.0,20.66862201690674
FF-initials,1.0,1.0,1.0,0,2,1.0,0.25,0.3737621307373047
FF-phone-10-long,1.0,1.0,1.0,0,50,6.5,0.3748998108015136,54.717286348342896
FF-phone-5,1.0,1.0,1.0,1,4,0.75,0.29166666666666663,1.4492220878601074
FF-phone-5-short,1.0,1.0,1.0,0,4,1.25,0.41666666666666663,1.642498254776001
FF-name-combine,1.0,1.0,1.0,3,3,0.0,0.0,2.909945249557495
FF-name-combine-4-short,1.0,1.0,1.0,2,3,0.3333333333333333,0.037037037037037035,0.8974299430847168
FF-firstname-small,1.0,1.0,1.0,1,2,1.5,0.25,0.4649794101715088
FF-phone-1-long-repeat,1.0,1.0,1.0,50,50,0.0,0.0,20.631643533706665
FF-phone-2,1.0,1.0,1.0,3,3,0.0,0.0,1.2819607257843018
FF-phone-6-long,0.78,0.78,0.78,37,50,0.74,0.1778787878787879,23.42567205429077
FF-phone-4,1.0,1.0,1.0,0,3,1.0,0.0909090909090909,2.487992286682129
FF-phone-10-long-repeat,1.0,1.0,1.0,9,50,3.98,0.23071637426900582,55.303587198257446
FF-univ-3-long-repeat,0.7,0.6363636363636364,0.6666666666666666,4,11,8.0,0.38649561965069984,12.231288433074951
FF-lastname-small,1.0,1.0,1.0,2,2,0.0,0.0,0.5660455226898193
FF-phone-3,1.0,1.0,1.0,4,4,0.0,0.0,3.937920331954956
FF-name-combine-2-long,1.0,1.0,1.0,9,27,1.1851851851851851,0.12118406285072952,19.732271909713745
FF-phone-6-long-repeat,0.74,0.74,0.74,36,50,0.54,0.17833333333333332,23.44911551475525
FF-bikes-long-repeat,1.0,1.0,1.0,0,5,1.4,0.20357142857142857,3.1082231998443604
FF-phone-7-short,1.0,1.0,1.0,3,4,0.5,0.16666666666666666,1.658311128616333
FF-phone-5-long,0.62,0.62,0.62,21,50,0.96,0.32,20.070074319839478
FF-phone-10-short,1.0,1.0,1.0,1,4,4.0,0.22712418300653597,4.234952688217163
FF-univ-2,1.0,1.0,1.0,0,3,20.0,0.4586333207022862,5.255216598510742
FF-univ-5,0.75,0.75,0.75,2,4,6.5,0.3148809523809524,5.026946544647217
FF-univ-4-long,0.9,0.9,0.9,4,10,4.8,0.27733162563270924,10.549344539642334
FF-univ-4-long-repeat,0.8,0.7272727272727273,0.761904761904762,1,11,12.0,0.5303674739433254,13.762380838394165
FF-name-combine-2-long-repeat,1.0,1.0,1.0,14,27,1.1111111111111112,0.10631837298503966,22.095731258392334
FF-univ-4,0.75,0.75,0.75,1,4,7.5,0.3627450980392157,4.687540769577026
FF-univ-2-short,1.0,1.0,1.0,0,3,15.666666666666666,0.2914918202274524,5.366570711135864
FF-phone-9-long,1.0,1.0,1.0,5,50,3.26,0.22106873518638223,53.37468981742859
FF-reverse-name-long-repeat,1.0,1.0,1.0,23,25,0.44,0.02254545454545455,27.892143487930298
FF-univ-3,1.0,1.0,1.0,1,3,6.0,0.2857142857142857,3.817955732345581
FF-phone-8-long,1.0,1.0,1.0,50,50,0.0,0.0,20.591060161590576
FF-phone-9-short,1.0,1.0,1.0,0,4,7.0,0.5054945054945055,4.242340326309204
FF-initials-long,0.8888888888888888,0.8888888888888888,0.8888888888888888,14,27,0.5555555555555556,0.12962962962962962,12.863055229187012
FF-dr-name-long-repeat,1.0,1.0,1.0,10,25,0.84,0.0746031746031746,20.765624523162842
FF-univ-6-short,1.0,1.0,1.0,2,4,3.0,0.13664596273291924,5.304986476898193
FF-phone-long,1.0,1.0,1.0,50,50,0.0,0.0,20.611820459365845
FF-univ-5-long,0.7,0.7,0.7,2,10,7.6,0.41563143040310224,10.569547414779663
FF-univ-4-short,0.75,0.75,0.75,1,4,6.0,0.3570691434468524,4.2486326694488525
FF-name-combine-long-repeat,1.0,1.0,1.0,27,27,0.0,0.0,28.326462984085083
FF-phone,1.0,1.0,1.0,3,3,0.0,0.0,1.268991231918335
FF-initials-long-repeat,0.7777777777777778,0.7777777777777778,0.7777777777777778,13,27,0.6666666666666666,0.16666666666666666,12.775654077529907
FF-phone-4-long,1.0,1.0,1.0,11,50,0.84,0.07636363636363637,42.413817405700684
FF-phone-3-long-repeat,1.0,1.0,1.0,50,50,0.0,0.0,50.12336039543152
FF-name-combine-3-long,1.0,1.0,1.0,13,25,1.32,0.1054482772129831,18.879682302474976
FF-univ-2-long-repeat,1.0,1.0,1.0,0,10,6.3,0.18180541236033226,18.546039819717407
FF-univ-1-long-repeat,1.0,1.0,1.0,0,10,2.4,0.07780551601613403,20.70792579650879
FF-univ-3-short,1.0,1.0,1.0,0,3,17.666666666666668,0.6073412698412698,3.909191370010376
FF-dr-name-long,1.0,1.0,1.0,20,25,0.32,0.024725274725274728,20.542163372039795
FF-phone-short,1.0,1.0,1.0,3,3,0.0,0.0,1.2379589080810547
FF-phone-long-repeat,1.0,1.0,1.0,50,50,0.0,0.0,20.682609796524048
FF-phone-8-short,1.0,1.0,1.0,4,4,0.0,0.0,1.6411993503570557
